grade,run,nStates,att_rms_deg,att_bias_deg,att_noise_deg,rad_rms_m,pos3d_rms_m,clk_rms_ns,corr_rad_clk
default,S1R1,29,NaN,NaN,NaN,3.814652,6.054682,13.529955,-0.999967
default,S1R4,59,0.134510,0.061534,0.060578,2.620597,6.120856,9.476894,-0.999985
default,S1R4+IMU,62,0.164154,0.134273,0.050031,3.341793,6.480431,12.331976,-0.999986
default,S6R4,59,0.105128,0.058432,0.044543,0.313476,0.345384,0.031389,-0.999979
default,S6R4+IMU,62,0.161283,0.132595,0.048793,0.315434,0.340949,0.019136,-0.999980
realism,S1R1,29,NaN,NaN,NaN,9.465401,13.805620,29.679564,-0.999988
realism,S1R4,59,3.336475,3.308191,0.226179,6.825395,13.000930,21.499121,-0.999995
realism,S1R4+IMU,62,2.895033,2.858858,0.256184,5.933527,12.418675,20.242120,-0.999995
realism,S6R4,59,1.602928,1.239508,0.551485,1.297758,1.511647,0.338309,-0.999984
realism,S6R4+IMU,62,2.321989,2.272020,0.261061,1.324388,1.547962,0.352271,-0.999984
