caseIndex,caseName,description,duration_s,ok,message,folder,wall_s,finalAttitudeError_deg,tailMeanAttitudeError_deg,tailRmsAttitudeError_deg,finalAttitudeSigma_deg,finalDiffAttRows,finalDiffAttResidRMS_m,finalDiffAttActiveBaselines,finalDiffAttRejectedRows,finalPositionError_m,tailMeanPositionError_m,finalClockError_ns,tailMeanClockError_ns,carrierSigma_m,interAntennaBiasEnable,interAntennaBiasSigma_cycles,phaseScintEnable,phaseScintSigma_rad,multipathColoredEnable,multipathSigma_m,hardwareDelaySigma_m,antennaPcvTruthEnable,antennaPcvModelEnable,antennaPcvAmplitude_m,towerSurveyTruthEnable,towerSurveyModelEnable,correlatedNoiseEnable,correlatedNoiseCommon_m,correlatedNoiseSameTower_m,correlatedNoiseIndependent_m,clockTemplateSource,towerProductSigmaBias_m,codeNoiseModel,dcbL1Truth_m,eopEnable,solidEarthTideEnable
0,L00_clean_ideal,"Clean baseline: no realistic atmosphere, no realism overlay, carrier sigma 5 mm.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/00_L00_clean_ideal,NaN,0.166380502928328,0.0768499326527974,0.0827606719056085,0.113893622463266,30,0.0057426380793971,15,0,0.167828624139975,1.30999373176833,0.557880589356155,4.33186545442765,0.005,0,0.25,0,NaN,0,0.3,0,0,0,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
1,I01_carrier_sigma_1cm,"Isolated attitude/carrier R floor: carrier sigma 5 mm -> 10 mm.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/01_I01_carrier_sigma_1cm,NaN,0.233441142832812,0.11326945244301,0.120733129643811,0.163082544239617,30,0.0114767407459461,15,0,0.627867235419066,1.46018662012969,2.07554725339552,4.82984967154993,0.01,0,0.25,0,NaN,0,0.3,0,0,0,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
2,I02_inter_antenna_bias,"Isolated unknown inter-antenna carrier phase bias: 0.25 cycle sigma.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/02_I02_inter_antenna_bias,NaN,3.90070608650123,3.6212849726787,3.62732895559512,2.01347370826229,0,NaN,15,0,0.175466662341204,1.30974412911745,0.583272116219548,4.3310303652369,0.005,1,0.25,0,NaN,0,0.3,0,0,0,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
3,I03_phase_scintillation,"Isolated carrier phase scintillation: 0.2 rad zenith GM truth jitter.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/03_I03_phase_scintillation,NaN,0.162346303945171,0.0777612712607303,0.0835044141023377,0.113823295343015,30,0.00574326701362418,15,0,0.158139605079128,1.14152542414302,0.519462497445524,3.77537365412426,0.005,0,0.25,1,0.2,0,0.3,0,0,0,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
4,I04_realistic_atmosphere,"Realistic troposphere/ionosphere/scintillation overlay only.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/04_I04_realistic_atmosphere,NaN,0.163855032985688,0.0764176081471774,0.0819786985353265,0.11373345876825,30,0.00574224247066138,15,0,5.71895849505805,5.93698854966981,7.55266307575883,8.81741148251536,0.005,0,0.25,1,0.2,0,0.3,0,0,0,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
5,I05_multipath_colored,"Isolated colored code multipath: 0.30 m steady-state, 60 s tau.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/05_I05_multipath_colored,NaN,0.16340766333762,0.0779074298726086,0.0837112297611368,0.113870378676244,30,0.0057425944610022,15,0,0.336233801386125,1.50252260523378,0.821095229530485,4.8582638714612,0.005,0,0.25,0,NaN,1,0.3,0,0,0,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
6,I06_hardware_delay_white,"Isolated hardware residual: 0.5 m truth-side white residual charged into R.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/06_I06_hardware_delay_white,NaN,0.169200756150904,0.0765598818117751,0.0825629562727427,0.113859009559494,30,0.00574219257326992,15,0,0.129526648191424,1.33187062838597,0.330401418136918,4.38176131381621,0.005,0,0.25,0,NaN,0,0.3,0.5,0,0,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
7,I07_antenna_pcv_current,"Current antenna PCV toggle: toy 5 mm PCV with truth/model both enabled.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/07_I07_antenna_pcv_current,NaN,0.166380502928328,0.0768499326527974,0.0827606719056085,0.113893622463266,30,0.0057426380793971,15,0,0.167828624139975,1.30999373176833,0.557880589356155,4.33186545442765,0.005,0,0.25,0,NaN,0,0.3,0,1,1,0.005,0,0,0,0,0,0,legacy,0.01,constant,0,0,0
8,I08_tower_survey_current,"Current tower survey toggle: 1/1/3 cm ENU with truth/model both enabled.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/08_I08_tower_survey_current,NaN,0.15753506784633,0.0749409190354899,0.0807492646753828,0.113915530709463,30,0.0057427890110694,15,0,0.1745572393834,1.3096219309973,0.580251269744041,4.33062690284642,0.005,0,0.25,0,NaN,0,0.3,0,0,0,0.005,1,1,0,0,0,0,legacy,0.01,constant,0,0,0
9,I09_correlated_noise_current,"Current correlated-noise toggle: enabled with the configured zero sigmas.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/09_I09_correlated_noise_current,NaN,0.166380502928328,0.0768499326527974,0.0827606719056085,0.113893622463266,30,0.0057426380793971,15,0,0.167828624139975,1.30999373176833,0.557880589356155,4.33186545442765,0.005,0,0.25,0,NaN,0,0.3,0,0,0,0.005,0,0,1,0,0,0,legacy,0.01,constant,0,0,0
10,R10_realism_no_inter_antenna,"Current full realism package, but inter-antenna carrier bias disabled.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/10_R10_realism_no_inter_antenna,NaN,1.46356570226266,1.3185594701446,1.33688307735767,4.65175592808313,0,NaN,15,0,11.4623226664085,12.5407703353871,7.66951355932237,18.2069631528727,0.01,0,0.25,1,0.2,1,0.3,0.5,1,1,0.005,1,1,0,0,0,0,jowTable2p1,0.1,cn0,0.3,1,1
11,R11_full_realism_current,"Current full realism package: atmosphere + realismGradeConfig with all includes.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/11_R11_full_realism_current,NaN,3.83154880317622,3.87037163683646,3.8898590994465,4.91921964477117,0,NaN,15,0,11.4629296199303,12.5411816415214,7.67144124339289,18.2072716219604,0.01,1,0.25,1,0.2,1,0.3,0.5,1,1,0.005,1,1,0,0,0,0,jowTable2p1,0.1,cn0,0.3,1,1
12,R12_full_realism_carrier_5mm,"Full realism package but honestFloors disabled, leaving carrier sigma at 5 mm.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/12_R12_full_realism_carrier_5mm,NaN,4.0442074458658,4.25267665909525,4.25398737941609,3.8462956340182,0,NaN,15,0,11.5179517567073,12.8096775957788,15.4306913752694,22.1578915383157,0.005,1,0.25,1,0.2,1,0.3,0.5,1,1,0.005,1,1,0,0,0,0,jowTable2p1,0.1,cn0,0.3,1,1
13,R13_full_realism_no_phase_scint,"Full realism package but carrier phase scintillation disabled after atmosphere overlay.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/13_R13_full_realism_no_phase_scint,NaN,2.97612549229468,3.22929504819445,3.23683394242175,4.81343522144249,0,NaN,15,0,11.4236829154363,12.5195621108593,7.65045840838117,17.7240155406404,0.01,1,0.25,0,0.2,1,0.3,0.5,1,1,0.005,1,1,0,0,0,0,jowTable2p1,0.1,cn0,0.3,1,1
14,F14_clock_jow_only,"Focused check: clean geometry with only the JOW caesium receiver-clock template enabled.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/14_F14_clock_jow_only,NaN,5.81835736487209,5.7658705615212,5.76913135470349,2.34756981034977,0,NaN,15,0,3.96891001804399,2.90470168487946,13.1633412238994,9.60911892342736,0.005,0,0.25,0,NaN,0,0.3,0,0,0,0.005,0,0,0,0,0,0,jowTable2p1,0.01,constant,0,0,0
15,F15_realism_no_inter_legacy_clock,"Focused check: full realism without inter-antenna bias and without the JOW clock overlay.",3600,1,skipped existing MAT,output/AttitudeAblation_3600s_20260722/15_F15_realism_no_inter_legacy_clock,NaN,0.23064873684181,0.116525184162645,0.12270192523966,0.164450459440859,30,0.0114753337424097,15,0,904.882793482496,910.355024231881,1441.35370276632,1469.36778091868,0.01,0,0.25,1,0.2,1,0.3,0.5,1,1,0.005,1,1,0,0,0,0,legacy,0.1,cn0,0.3,1,1
