rung,group,nStates,radial_m,along_m,cross_m,clock_m,posRMS_m,meanNIS,measRows,ok,err
00_baseline,reference,50,10.195,0.757,1.632,10.323,10.353,55.14,60.0,1,
01_no_atmosphere,atmosphere,50,39.948,0.191,1.210,39.769,39.967,43.27,60.0,1,
02_iono_off,atmosphere,50,51.537,0.091,1.383,51.286,51.555,43.34,60.0,1,
03_trop_off,atmosphere,50,9.456,0.624,1.799,9.241,9.646,55.07,60.0,1,
04_scintillation_off,atmosphere,50,8.251,0.783,1.802,8.233,8.482,55.63,60.0,1,
05_higherOrder_off,atmosphere,50,10.144,0.756,1.628,10.270,10.302,55.12,60.0,1,
06_zwd_state_off,estimator,38,30.060,1.400,0.745,30.226,30.102,73.57,60.0,1,
07_iono_state_ekf,estimator,62,38.947,0.127,1.062,38.764,38.961,43.30,60.0,1,
08_ionosphere_free,estimator,50,31.113,0.118,0.805,30.969,31.124,26.01,36.0,1,
09_carrier_off,measurement,26,300.917,0.606,9.482,299.228,301.066,38.54,48.0,1,
10_doppler_off,measurement,50,11.466,1.101,2.136,11.172,11.715,33.06,36.0,1,
11_rxclock_determ,clock,50,10.367,0.759,1.632,10.499,10.522,55.14,60.0,1,
12_towerclock_perfect,clock,50,10.539,0.761,1.621,10.673,10.690,59.74,60.0,1,
13_floor_all_clean,floor,38,0.400,0.061,0.062,0.401,0.409,52.05,60.0,1,
14_geom_5towers,geometry,29,64.467,1.361,1.762,64.326,64.505,21.73,25.0,1,
15_geom_swarm_ISL,geometry,50,0.129,0.058,0.078,0.012,0.161,64.81,70.0,1,
__DONE__
